person;executed_score;first_act_x;first_act_y;first_act_type
zone_10288;138.41455134687982;630960.4294058172;4804786.410587627;home
zone_10289;135.47497401222293;631430.1224549154;4803447.425783493;home
zone_1029;129.85134246817813;635197.0452507571;4805481.377529364;home
zone_10290;121.90333161061773;632218.3115986192;4804912.491285831;home
zone_10291;132.82514458382104;631333.4244101713;4803960.511673419;home
zone_10292;135.30415091862437;630058.9064276607;4804826.804914959;home
zone_10293;94.25634763479925;630617.1511457147;4801576.524765048;home
zone_10294;133.59848728127642;632862.094893001;4803431.049683092;home
zone_10295;123.08069654013309;636388.6401010551;4801896.6194677055;home
zone_10296;137.44508065156023;631465.6573447593;4803891.440328561;home
zone_10297;123.70469685289306;632246.1130241295;4805045.8673726935;home
zone_10298;123.18985135460515;633658.0422692972;4802650.466149388;home
zone_10299;111.16625821005174;632246.1130241295;4805045.8673726935;home
zone_103;129.51810755310734;630681.2477854895;4802710.327015594;home
zone_1030;124.79814453286112;629794.9940880276;4801005.653744549;home
zone_10300;138.78291070313182;633863.5952154066;4804246.960299166;home
zone_10301;134.50375819939597;632622.9876690283;4804457.694485508;home
zone_10302;102.01757917142965;630920.5717011337;4800920.006587481;home
zone_10303;124.73723309655522;634986.4191580678;4804624.703218001;home
zone_10304;125.18686994549414;630855.2638992819;4801231.987388995;home
zone_10305;134.08348010245462;631540.3965349996;4800682.676365055;home
zone_10306;137.08186765496063;631270.38943685;4801570.682701021;home
zone_10307;127.61889970060564;633200.2138354022;4803819.506349203;home
zone_10308;109.4484986226582;630883.3144750486;4801319.354428062;home
zone_10309;131.62090970214152;634316.9543824722;4805109.391582068;home
zone_1031;127.19946753998532;632744.8747950724;4803938.610677628;home
zone_10310;107.71401960527147;630451.0619626248;4801294.608797247;home
zone_10311;130.21428910610734;635197.0452507571;4805481.377529364;home
zone_10312;119.97189505622879;631248.4569788058;4803630.36003998;home
zone_10313;138.31179684463388;632698.8839163114;4801492.549849004;home
zone_10314;131.5881970552746;631989.018049122;4802745.731996389;home
zone_10315;123.43582772361516;633834.9184146695;4804555.2393007325;home
zone_10316;125.84318636034357;632668.3781858163;4803782.159334039;home
zone_10317;108.32761051262388;630058.9064276607;4804826.804914959;home
zone_10318;131.2806486513254;632246.1130241295;4805045.8673726935;home
zone_10319;141.4724765917828;630377.6843391721;4800707.535136636;home
zone_1032;139.9345295107909;631189.7195956339;4803518.252309008;home
zone_10320;130.26899467377095;631423.0319878319;4804629.119078821;home
zone_10321;125.38997577709569;631112.9513203807;4801710.212993765;home
