link;from_node;to_node;length;freespeed;capacity;lanes;modes;vol_car;storageCapacityUsedInQsim;type;origid;geometry
2753;2397236937;2397236869;364.95610448835095;5.555555555555555;420.0;1.0;car;1570;;tertiary;1086741432;LINESTRING( 631748.1599903767 4804533.732339932, 632009.3477990425 4804352.193306937 )
2754;2397236937;6344425813;812.4422010974948;5.555555555555555;420.0;1.0;car;1925;;tertiary;1086741432;LINESTRING( 631748.1599903767 4804533.732339932, 631097.9039852873 4804724.50581771 )
2755;6344425813;2397236937;812.4422010974948;5.555555555555555;420.0;1.0;car;1925;;tertiary;1086741432;LINESTRING( 631097.9039852873 4804724.50581771, 631748.1599903767 4804533.732339932 )
2756;6344425813;2397237035;38.145808827029214;5.555555555555555;420.0;1.0;car;1022;;tertiary;1086741432;LINESTRING( 631097.9039852873 4804724.50581771, 631067.4919251435 4804747.524422918 )
2757;2397237035;6344425813;38.145808827029214;5.555555555555555;420.0;1.0;car;1022;;tertiary;1086741432;LINESTRING( 631067.4919251435 4804747.524422918, 631097.9039852873 4804724.50581771 )
2758;3321563187;6344453358;372.7046059374863;5.555555555555555;420.0;1.0;car;274;;residential;325508121;LINESTRING( 630222.4942504193 4801707.868597805, 630385.6332860584 4802041.621630954 )
2759;6344453358;3321563187;372.7046059374863;5.555555555555555;420.0;1.0;car;292;;residential;325508121;LINESTRING( 630385.6332860584 4802041.621630954, 630222.4942504193 4801707.868597805 )
276;12922934530;11704496368;78.25107636222342;12.5;2400.0;2.0;car;23;;trunk_link;1396178759;LINESTRING( 633263.2904702995 4804150.854665212, 633263.5687218044 4804072.65577758 )
2760;6344453358;3321563192;67.85876507981072;5.555555555555555;420.0;1.0;car;304;;residential;325508121;LINESTRING( 630385.6332860584 4802041.621630954, 630421.6342150182 4802099.143323489 )
2761;3321563192;6344453358;67.85876507981072;5.555555555555555;420.0;1.0;car;322;;residential;325508121;LINESTRING( 630421.6342150182 4802099.143323489, 630385.6332860584 4802041.621630954 )
2762;2397237035;2397237041;64.91246717603099;5.555555555555555;420.0;1.0;car;988;;tertiary;1086741433;LINESTRING( 631067.4919251435 4804747.524422918, 631006.4907760198 4804769.716498091 )
2763;2397237041;2397237035;64.91246717603099;5.555555555555555;420.0;1.0;car;988;;tertiary;1086741433;LINESTRING( 631006.4907760198 4804769.716498091, 631067.4919251435 4804747.524422918 )
2764;7008034384;7008050689;338.66788738366824;5.555555555555555;420.0;1.0;car;227;;residential;749402922;LINESTRING( 634722.3861941476 4804042.148493137, 634594.8002483586 4803728.541019346 )
2765;7008050689;7008034384;338.66788738366824;5.555555555555555;420.0;1.0;car;38;;residential;749402922;LINESTRING( 634594.8002483586 4803728.541019346, 634722.3861941476 4804042.148493137 )
2766;12313747119;4800177394;98.71262933671898;5.555555555555555;420.0;1.0;car;10;;residential;1330833618;LINESTRING( 633319.5038431808 4801837.344438058, 633275.6572542423 4801901.351904909 )
2767;4800177394;12313747119;98.71262933671898;5.555555555555555;420.0;1.0;car;33;;residential;1330833618;LINESTRING( 633275.6572542423 4801901.351904909, 633319.5038431808 4801837.344438058 )
2768;12313747124;12313747121;69.11418076853153;5.555555555555555;420.0;1.0;car;1;;residential;1330833619;LINESTRING( 633570.5299844914 4801736.808460558, 633557.0148782572 4801804.568799527 )
2769;12313747121;12313747124;69.11418076853153;5.555555555555555;420.0;1.0;car;1;;residential;1330833619;LINESTRING( 633557.0148782572 4801804.568799527, 633570.5299844914 4801736.808460558 )
277;11704496368;12922934530;78.25107636222342;12.5;1200.0;1.0;car;1150;;trunk_link;1396178759;LINESTRING( 633263.5687218044 4804072.65577758, 633263.2904702995 4804150.854665212 )
2770;12313747132;12313747119;21.635691943152317;5.555555555555555;420.0;1.0;car;15;;residential;1330833620;LINESTRING( 633299.0518357512 4801830.286211797, 633319.5038431808 4801837.344438058 )
2771;12313747119;12313747132;21.635691943152317;5.555555555555555;420.0;1.0;car;38;;residential;1330833620;LINESTRING( 633319.5038431808 4801837.344438058, 633299.0518357512 4801830.286211797 )
2772;12313747119;12313747120;549.0041243589867;5.555555555555555;420.0;1.0;car;16;;residential;1330833620;LINESTRING( 633319.5038431808 4801837.344438058, 633427.7884814474 4802358.834623134 )
2773;12313747120;12313747119;549.0041243589867;5.555555555555555;420.0;1.0;car;16;;residential;1330833620;LINESTRING( 633427.7884814474 4802358.834623134, 633319.5038431808 4801837.344438058 )
2774;6342424900;10578216772;192.56681478829378;5.555555555555555;420.0;1.0;car;468;;unclassified;1135052832;LINESTRING( 630972.8611736002 4802181.90393741, 631159.0729982515 4802141.552075863 )
2775;10578216772;6342424900;192.56681478829378;5.555555555555555;420.0;1.0;car;785;;unclassified;1135052832;LINESTRING( 631159.0729982515 4802141.552075863, 630972.8611736002 4802181.90393741 )
2776;6344347029;6344348113;80.44838658020825;5.555555555555555;420.0;1.0;car;98;;unclassified;677577706;LINESTRING( 633332.5721488408 4803796.007787917, 633408.6816596655 4803815.253036976 )
2777;6344348113;6344347029;80.44838658020825;5.555555555555555;420.0;1.0;car;200;;unclassified;677577706;LINESTRING( 633408.6816596655 4803815.253036976, 633332.5721488408 4803796.007787917 )
2778;2015570296;2015570294;69.05559324948136;5.555555555555555;420.0;1.0;car;37;;residential;1328424096;LINESTRING( 631617.0528190747 4804209.829566608, 631586.1647604307 4804148.0670958655 )
2779;2015570294;2015570296;69.05559324948136;5.555555555555555;420.0;1.0;car;37;;residential;1328424096;LINESTRING( 631586.1647604307 4804148.0670958655, 631617.0528190747 4804209.829566608 )
278;10578179025;6344452472;230.7239757877916;5.555555555555555;420.0;1.0;car;22;;unclassified;1134695379;LINESTRING( 630096.0814867644 4801853.485473518, 629944.1082476939 4802011.256229682 )
2780;2015570294;2015570288;72.3702377220735;5.555555555555555;420.0;1.0;car;48;;residential;1328424096;LINESTRING( 631586.1647604307 4804148.0670958655, 631555.1931239703 4804082.659076151 )
2781;2015570288;2015570294;72.3702377220735;5.555555555555555;420.0;1.0;car;52;;residential;1328424096;LINESTRING( 631555.1931239703 4804082.659076151, 631586.1647604307 4804148.0670958655 )
2782;2015570288;2015570278;122.05481953303999;5.555555555555555;420.0;1.0;car;69;;residential;1328424096;LINESTRING( 631555.1931239703 4804082.659076151, 631500.4265096083 4803973.581136482 )
2783;2015570278;2015570288;122.05481953303999;5.555555555555555;420.0;1.0;car;67;;residential;1328424096;LINESTRING( 631500.4265096083 4803973.581136482, 631555.1931239703 4804082.659076151 )
2784;1411867092;2015570278;183.76987861971625;5.555555555555555;420.0;1.0;car;759;;residential;1328424097;LINESTRING( 631661.6495594382 4803885.385351484, 631500.4265096083 4803973.581136482 )
2785;2015570278;1411867092;183.76987861971625;5.555555555555555;420.0;1.0;car;375;;residential;1328424097;LINESTRING( 631500.4265096083 4803973.581136482, 631661.6495594382 4803885.385351484 )
2786;10585823295;10585823280;31.69558895195993;5.555555555555555;420.0;1.0;car;11;;unclassified;1135603772;LINESTRING( 633077.7735270577 4802499.254960797, 633107.5089259183 4802510.228402081 )
2787;10585823280;10585823295;31.69558895195993;5.555555555555555;420.0;1.0;car;26;;unclassified;1135603772;LINESTRING( 633107.5089259183 4802510.228402081, 633077.7735270577 4802499.254960797 )
2788;10585823280;10585823294;289.72527017778964;5.555555555555555;420.0;1.0;car;10;;unclassified;1135603772;LINESTRING( 633107.5089259183 4802510.228402081, 633379.3332447822 4802610.489420696 )
2789;10585823294;10585823280;289.72527017778964;5.555555555555555;420.0;1.0;car;10;;unclassified;1135603772;LINESTRING( 633379.3332447822 4802610.489420696, 633107.5089259183 4802510.228402081 )
279;6344452472;10578179025;230.7239757877916;5.555555555555555;420.0;1.0;car;24;;unclassified;1134695379;LINESTRING( 629944.1082476939 4802011.256229682, 630096.0814867644 4801853.485473518 )
2790;10585823293;10585823292;25.05116092891335;5.555555555555555;420.0;1.0;car;11;;unclassified;1135603771;LINESTRING( 633169.3590774848 4802221.283775055, 633192.9012584174 4802229.846857492 )
2791;10585823292;10585823293;25.05116092891335;5.555555555555555;420.0;1.0;car;1402;;unclassified;1135603771;LINESTRING( 633192.9012584174 4802229.846857492, 633169.3590774848 4802221.283775055 )
2792;10585823292;10585823290;465.45472965698684;5.555555555555555;420.0;1.0;car;15;;unclassified;1135603771;LINESTRING( 633192.9012584174 4802229.846857492, 633342.1460698617 4802533.940179861 )
2793;10585823290;10585823292;465.45472965698684;5.555555555555555;420.0;1.0;car;15;;unclassified;1135603771;LINESTRING( 633342.1460698617 4802533.940179861, 633192.9012584174 4802229.846857492 )
2794;10585823286;10585823287;24.31029456843995;5.555555555555555;420.0;1.0;car;1;;unclassified;1135603770;LINESTRING( 633189.5251885342 4802160.097710814, 633212.8413075954 4802166.978772791 )
2795;10585823287;10585823286;24.31029456843995;5.555555555555555;420.0;1.0;car;4;;unclassified;1135603770;LINESTRING( 633212.8413075954 4802166.978772791, 633189.5251885342 4802160.097710814 )
2796;10585823287;10585823292;65.95454218750939;5.555555555555555;420.0;1.0;car;1392;;unclassified;1135603770;LINESTRING( 633212.8413075954 4802166.978772791, 633192.9012584174 4802229.846857492 )
2797;10585823292;10585823287;65.95454218750939;5.555555555555555;420.0;1.0;car;1;;unclassified;1135603770;LINESTRING( 633192.9012584174 4802229.846857492, 633212.8413075954 4802166.978772791 )
2798;10585823292;10585823288;124.65154285219553;5.555555555555555;420.0;1.0;car;0;;unclassified;1135603770;LINESTRING( 633192.9012584174 4802229.846857492, 633306.4833434147 4802247.684331437 )
2799;10585823288;10585823292;124.65154285219553;5.555555555555555;420.0;1.0;car;0;;unclassified;1135603770;LINESTRING( 633306.4833434147 4802247.684331437, 633192.9012584174 4802229.846857492 )
28;5190916844;6344342872;163.41376249692172;5.555555555555555;420.0;1.0;car;77;;residential;535595004;LINESTRING( 632693.8829918571 4803216.863647453, 632682.8382412741 4803054.083862322 )
280;12759287299;12759303809;475.4018488707898;19.444444444444443;3400.0;2.0;car;109;;trunk;1233851898;LINESTRING( 633681.1302829225 4801054.543593187, 633886.6083037688 4800777.910982402 )
2802;10585823281;10585823287;218.72906705285806;5.555555555555555;420.0;1.0;car;1396;;unclassified;1135603769;LINESTRING( 633255.5354696239 4801959.394461868, 633212.8413075954 4802166.978772791 )
2803;10585823287;10585823281;218.72906705285806;5.555555555555555;420.0;1.0;car;2;;unclassified;1135603769;LINESTRING( 633212.8413075954 4802166.978772791, 633255.5354696239 4801959.394461868 )
2804;10585823287;10585823284;121.30339112428447;5.555555555555555;420.0;1.0;car;1;;unclassified;1135603769;LINESTRING( 633212.8413075954 4802166.978772791, 633323.209136026 4802215.083779127 )
