link_id,lane_km,road_capacity_utilization,avg_speed,congestion_index,speed_performance_index,simulated_traffic_volume,vol_car
2727,0.04899902255153283,0.019841269841269844,19.720187599396798,0.9859587659046264,0.9859587659046264,200.0,200.0
2728,0.07522081706479644,0.012301587301587303,19.7022195684429,0.9850787905350318,0.9850787905350318,124.0,124.0
2729,0.07522081706479644,0.009523809523809523,19.67115120882636,0.9835265221216016,0.9835265221216016,96.0,96.0
273,0.028210794977859804,0.12077777777777779,27.56889424165938,0.91892132615666,0.91892132615666,2174.0,2174.0
2730,0.07667968208702143,0.014087301587301588,19.8689034383347,0.9934309434070443,0.9934309434070443,142.0,142.0
2731,0.07667968208702143,0.01626984126984127,19.848399724321713,0.9924080860079807,0.9924080860079807,164.0,164.0
2732,0.07271943571559915,0.017261904761904763,19.380568656117536,0.9690078061521281,0.9690078061521281,174.0,174.0
2733,0.07271943571559915,0.016765873015873015,19.322908406920146,0.9661271736907682,0.9661271736907682,169.0,169.0
2734,0.042482006066275016,0.02380952380952381,19.457077102832546,0.972803047659848,0.972803047659848,240.0,240.0
2735,0.042482006066275016,0.023313492063492064,19.465139043397894,0.9732102922376483,0.9732102922376483,235.0,235.0
2736,0.1542853331462998,0.02380952380952381,19.920176355759743,0.9960022017922977,0.9960022017922977,240.0,240.0
2737,0.1542853331462998,0.02132936507936508,19.907316367461803,0.9953593373977208,0.9953593373977208,215.0,215.0
2738,0.08664509742529797,0.03968253968253968,19.634606901913948,0.9817266554356745,0.9817266554356745,400.0,400.0
2739,0.08664509742529797,0.02738095238095238,19.7371279109928,0.9868527843930219,0.9868527843930219,276.0,276.0
274,0.03990023923473274,0.09272222222222222,29.26412355039592,0.9754680369116306,0.9754680369116306,1669.0,1669.0
2740,0.020151522799174627,0.1302579365079365,18.855819955632565,0.9427563600832805,0.9427563600832805,1313.0,1313.0
2741,0.020151522799174627,0.11765873015873016,17.904707002061645,0.888070051556913,0.8951999251843175,1186.0,1186.0
2742,0.10790506387927122,0.05555555555555555,19.68432178153971,0.9841945789317957,0.9841945789317957,560.0,560.0
2743,0.10790506387927122,0.08958333333333333,19.527627774044802,0.9763593896901142,0.9763593896901142,903.0,903.0
2744,0.3767569615271162,0.017261904761904763,19.972937476545933,0.9986443859691618,0.9986443859691618,174.0,174.0
2745,0.3767569615271162,0.008035714285714287,19.980907897551457,0.9990429847650047,0.9990429847650047,81.0,81.0
