person;activity_number;activity_id;activity_type;start_time;end_time;maximum_duration;link_id;facility_id;coord_x;coord_y
zone_12923;1;zone_12923_1;home;;41602.0;;1228;;636246.6320026608;4802790.953485896
zone_12923;2;zone_12923_2;other;46394.0;50086.0;;835;;631566.864673134;4803217.426395202
zone_12923;3;zone_12923_3;home;54896.0;;;1228;;636246.6320026608;4802790.953485896
zone_12924;1;zone_12924_1;home;;40939.0;;361;;637189.5867645489;4804833.534866543
zone_12924;2;zone_12924_2;other;45687.0;53302.0;;1254;;636388.6401010551;4801896.6194677055
zone_12924;3;zone_12924_3;home;58050.0;;;361;;637189.5867645489;4804833.534866543
zone_12925;1;zone_12925_1;home;;26223.0;;727;;633976.6746262889;4804194.995186169
zone_12925;2;zone_12925_2;work;26575.0;62731.0;;1234;;636604.449526968;4802958.487296521
zone_12925;3;zone_12925_3;home;65341.0;;;727;;633976.6746262889;4804194.995186169
zone_12926;1;zone_12926_1;home;;26283.0;;1279;;632171.5207091824;4801723.046830373
zone_12926;2;zone_12926_2;work;32867.0;66753.0;;1254;;636388.6401010551;4801896.6194677055
zone_12926;3;zone_12926_3;home;73337.0;;;1279;;632171.5207091824;4801723.046830373
zone_12927;1;zone_12927_1;home;;51585.0;;2872;;632303.5491439501;4804209.979694768
zone_12927;2;zone_12927_2;other;55916.0;55916.0;;128;;630724.6132364182;4801925.677576896
zone_12927;3;zone_12927_3;home;60247.0;;;2872;;632303.5491439501;4804209.979694768
zone_12928;1;zone_12928_1;home;;29165.0;;795;;631571.1561565665;4801964.656179063
zone_12928;2;zone_12928_2;work;29735.0;58644.0;;1891;;631263.6296640639;4804081.25514693
zone_12928;3;zone_12928_3;home;59182.0;;;795;;631571.1561565665;4801964.656179063
zone_12929;1;zone_12929_1;home;;28036.0;;1837;;630784.690107689;4803830.118691895
zone_12929;2;zone_12929_2;work;28292.0;60234.0;;563;;631262.302212802;4803297.818039749
zone_12929;3;zone_12929_3;home;60430.0;;;1837;;630784.690107689;4803830.118691895
zone_1293;1;zone_1293_1;home;;29612.0;;2648;;630932.2576036458;4800817.071656454
zone_1293;2;zone_1293_2;work;30685.0;58459.0;;2744;;630744.5100327333;4801479.252159022
zone_1293;3;zone_1293_3;home;59532.0;;;2648;;630932.2576036458;4800817.071656454
zone_12930;1;zone_12930_1;home;;29717.0;;2636;;631750.3439433665;4802192.636111722
zone_12930;2;zone_12930_2;work;39735.0;63473.0;;717;;638123.2489225944;4802985.867932502
zone_12930;3;zone_12930_3;home;73491.0;;;2636;;631750.3439433665;4802192.636111722
zone_12931;1;zone_12931_1;home;;29305.0;;1254;;636388.6401010551;4801896.6194677055
zone_12931;2;zone_12931_2;work;35811.0;62582.0;;2748;;632668.3781858163;4803782.159334039
zone_12931;3;zone_12931_3;home;69088.0;;;1254;;636388.6401010551;4801896.6194677055
zone_12932;1;zone_12932_1;home;;40830.0;;1865;;631920.2464073013;4803643.569691982
zone_12932;2;zone_12932_2;other;44514.0;47740.0;;777;;633875.3638544122;4804969.035035094
zone_12932;3;zone_12932_3;home;51424.0;;;1865;;631920.2464073013;4803643.569691982
zone_12933;1;zone_12933_1;home;;26184.0;;1315;;632462.4605781578;4804748.550565502
zone_12933;2;zone_12933_2;work;26757.0;58011.0;;1152;;632246.1130241295;4805045.8673726935
zone_12933;3;zone_12933_3;home;58584.0;;;1315;;632462.4605781578;4804748.550565502
zone_12934;1;zone_12934_1;home;;31924.0;;325;;632314.1441456596;4802308.880867948
zone_12934;2;zone_12934_2;work;34113.0;63455.0;;2327;;633990.2666733948;4803870.45258731
zone_12934;3;zone_12934_3;home;65586.0;;;325;;632314.1441456596;4802308.880867948
zone_12935;1;zone_12935_1;home;;42179.0;;1301;;632175.7273756515;4804420.074334943
zone_12935;2;zone_12935_2;other;43397.0;64038.0;;2754;;631423.0319878319;4804629.119078821
zone_12935;3;zone_12935_3;home;65256.0;;;1301;;632175.7273756515;4804420.074334943
zone_12936;1;zone_12936_1;home;;27872.0;;202;;630588.8793632288;4801886.961872073
zone_12936;2;zone_12936_2;work;32043.0;64931.0;;1403;;632040.2194224335;4804799.049864544
zone_12936;3;zone_12936_3;home;79678.0;;;202;;630588.8793632288;4801886.961872073
zone_12937;1;zone_12937_1;home;;39915.0;;895;;631052.5190304555;4801408.033824677
zone_12937;2;zone_12937_2;other;42416.0;70706.0;;3078;;629591.6328503961;4800746.766474359
zone_12937;3;zone_12937_3;home;73207.0;;;895;;631052.5190304555;4801408.033824677
zone_12938;1;zone_12938_1;home;;26818.0;;507;;630732.4636284867;4801281.417770371
zone_12938;2;zone_12938_2;work;28606.0;61295.0;;917;;631773.8231369554;4801761.407292169
zone_12938;3;zone_12938_3;home;63083.0;;;507;;630732.4636284867;4801281.417770371
zone_12939;1;zone_12939_1;home;;29842.0;;2700;;630617.1511457147;4801576.524765048
zone_12939;2;zone_12939_2;work;43579.0;59001.0;;1339;;632664.49160613;4804255.948546523
zone_12939;3;zone_12939_3;home;63324.0;;;2700;;630617.1511457147;4801576.524765048
zone_1294;1;zone_1294_1;home;;51988.0;;1192;;633954.4714208639;4804300.934996693
zone_1294;2;zone_1294_2;other;63141.0;63141.0;;1643;;630261.409059017;4803422.039820019
zone_1294;3;zone_1294_3;home;89262.0;;;1192;;633954.4714208639;4804300.934996693
zone_12940;1;zone_12940_1;home;;32353.0;;1254;;636388.6401010551;4801896.6194677055
zone_12940;2;zone_12940_2;work;49771.0;64828.0;;1849;;631384.9462649372;4804246.21377017
zone_12940;3;zone_12940_3;home;81854.0;;;1254;;636388.6401010551;4801896.6194677055
zone_12941;1;zone_12941_1;home;;32080.0;;1985;;632992.27972502;4803383.020614903
zone_12941;2;zone_12941_2;work;37279.0;64752.0;;1254;;636388.6401010551;4801896.6194677055
zone_12941;3;zone_12941_3;home;69752.0;;;1985;;632992.27972502;4803383.020614903
zone_12942;1;zone_12942_1;home;;53710.0;;1327;;632650.0640303618;4804904.357038192
zone_12942;2;zone_12942_2;other;57783.0;60212.0;;1061;;635197.0452507571;4805481.377529364
zone_12942;3;zone_12942_3;home;64285.0;;;1327;;632650.0640303618;4804904.357038192
zone_12943;1;zone_12943_1;home;;27527.0;;2582;;629423.8783079968;4802073.989117181
zone_12943;2;zone_12943_2;work;38553.0;59409.0;;1152;;632246.1130241295;4805045.8673726935
zone_12943;3;zone_12943_3;home;65613.0;;;2582;;629423.8783079968;4802073.989117181
zone_12944;1;zone_12944_1;home;;26580.0;;717;;638123.2489225944;4802985.867932502
zone_12944;2;zone_12944_2;work;27314.0;66315.0;;1254;;636388.6401010551;4801896.6194677055
zone_12944;3;zone_12944_3;home;66678.0;;;717;;638123.2489225944;4802985.867932502
zone_12945;1;zone_12945_1;home;;28111.0;;2113;;632744.8747950724;4803938.610677628
zone_12945;2;zone_12945_2;work;28611.0;65380.0;;2375;;631463.2442037221;4801893.863979476
zone_12945;3;zone_12945_3;home;74876.0;;;2113;;632744.8747950724;4803938.610677628
zone_12946;1;zone_12946_1;home;;31775.0;;1254;;636388.6401010551;4801896.6194677055
zone_12946;2;zone_12946_2;work;37071.0;68378.0;;953;;631232.9617473016;4802939.011579346
zone_12946;3;zone_12946_3;home;73619.0;;;1254;;636388.6401010551;4801896.6194677055
zone_12947;1;zone_12947_1;home;;43778.0;;2540;;631367.5585153041;4802677.024677447
zone_12947;2;zone_12947_2;other;45034.0;67210.0;;2814;;634557.6905523357;4801268.934089326
zone_12947;3;zone_12947_3;home;68193.0;;;2540;;631367.5585153041;4802677.024677447
zone_12948;1;zone_12948_1;home;;45529.0;;915;;631888.7059666544;4801974.6269031465
zone_12948;2;zone_12948_2;other;45799.0;45799.0;;1238;;631540.3965349996;4800682.676365055
zone_12948;3;zone_12948_3;home;46162.0;;;915;;631888.7059666544;4801974.6269031465
zone_12949;1;zone_12949_1;home;;48268.0;;439;;630180.7776721693;4801910.249368828
zone_12949;2;zone_12949_2;other;51699.0;65971.0;;122;;632313.1903618285;4802450.420951822
zone_12949;3;zone_12949_3;home;69402.0;;;439;;630180.7776721693;4801910.249368828
zone_1295;1;zone_1295_1;home;;37348.0;;1671;;634148.7993612662;4803826.007399421
zone_1295;2;zone_1295_2;other;50323.0;54962.0;;1794;;630845.4824340966;4802873.565386182
zone_1295;3;zone_1295_3;home;66124.0;;;1671;;634148.7993612662;4803826.007399421
zone_12950;1;zone_12950_1;home;;25574.0;;2014;;633785.5612609856;4804713.475805817
